time_s,force_N
56.969000,0.081800
57.063000,0.081500
57.172000,0.081400
57.281000,0.081900
57.375000,0.082500
57.485000,0.082300
57.578000,0.081200
57.672000,0.081500
57.781000,0.082100
57.875000,0.082100
57.985000,0.082200
58.078000,0.081400
58.172000,0.081200
58.281000,0.081300
58.375000,0.082200
58.485000,0.081100
58.578000,0.081600
58.688000,0.081900
58.781000,0.081900
58.875000,0.081500
58.985000,0.081600
59.078000,0.081500
59.172000,0.081700
59.281000,0.082200
59.375000,0.081600
59.485000,0.081900
59.578000,0.081500
59.688000,0.081900
59.781000,0.083400
59.875000,0.084100
59.985000,0.082900
60.078000,0.083600
60.188000,0.084000
60.281000,0.083900
60.391000,0.083600
60.485000,0.084500
60.594000,0.083500
60.672000,0.083900
60.781000,0.083300
60.891000,0.082800
60.985000,0.084000
61.078000,0.083500
61.188000,0.083700
61.297000,0.082700
61.375000,0.083700
61.485000,0.083900
61.578000,0.084600
61.688000,0.084600
61.781000,0.085200
61.891000,0.085300
61.985000,0.084100
62.094000,0.085000
62.188000,0.085900
62.297000,0.085500
62.391000,0.085200
62.485000,0.085200
62.594000,0.085200
62.688000,0.085200
62.781000,0.085700
62.891000,0.085700
63.000000,0.085900
63.094000,0.084800
63.188000,0.688900
63.297000,2.117300
63.391000,3.451000
63.500000,3.062600
63.594000,0.825100
63.688000,-0.184400
63.797000,-0.176400
63.891000,-0.168200
63.985000,-0.160600
64.094000,-0.154500
64.188000,-0.148600
64.297000,-0.143100
64.391000,-0.137800
64.500000,-0.133200
64.594000,0.045400
64.703000,1.031800
64.797000,1.659800
64.891000,1.118800
65.000000,0.233200
65.094000,-0.140800
65.188000,-0.187000
65.297000,-0.238000
65.391000,-0.276800
65.500000,-0.268000
65.594000,-0.259800
65.688000,-0.251600
65.797000,-0.244700
65.891000,-0.237600
66.000000,-0.231400
66.094000,-0.224600
66.203000,-0.219300
66.297000,-0.214700
66.406000,-0.208300
66.500000,-0.203600
66.610000,-0.198900
66.703000,-0.193100
66.797000,-0.188300
66.906000,-0.183800
67.000000,-0.179300
67.110000,-0.174000
67.203000,-0.170100
67.297000,-0.165000
67.406000,-0.161700
67.500000,-0.158300
67.610000,-0.154000
67.703000,-0.150000
67.797000,-0.145900
67.906000,-0.142300
68.000000,-0.139100
68.110000,-0.135600
68.203000,-0.132100
68.313000,-0.128300
68.406000,-0.125200
68.516000,-0.121900
68.610000,-0.118700
68.719000,-0.115900
68.813000,-0.113200
68.906000,-0.110900
69.000000,-0.105800
69.110000,-0.104300
69.203000,-0.102100
69.297000,-0.099000
69.406000,-0.097200
69.516000,-0.094600
69.610000,-0.091400
69.703000,-0.089600
69.813000,-0.086400
69.906000,-0.085200
70.016000,-0.082000
70.110000,-0.080200
70.219000,-0.078500
70.313000,-0.075600
70.406000,-0.074500
70.516000,-0.072400
70.610000,-0.069600
70.719000,-0.069300
70.813000,-0.066000
70.922000,-0.065100
71.000000,-0.063200
71.110000,-0.062700
71.203000,-0.061500
71.313000,-0.058200
71.422000,-0.057000
71.516000,-0.056600
71.610000,-0.054000
71.719000,-0.052000
71.813000,-0.050600
71.906000,-0.049200
72.016000,-0.048600
72.110000,-0.047000
72.219000,-0.045700
72.313000,-0.044000
72.422000,-0.042700
72.516000,-0.040600
